# Structural and fundamental parameters of 1037 open clusters from the
# third and fourth quadrants of the Galaxy, based on the results of pyUPMASK (p>=0.5).
# 
# NAME     : Cluster's name
# GLON     : galactic longitude coordinate center
# GLAT     : galactic latitud coordinate center
# r_cl     : radius
# r_c      : Core radius (King profile)
# r_t      : Tidal radius (King profile)
# ell      : Ellipticity
# theta    : Rotation angle
# CI       : Contamination index
# n_memb_k : Number of members obtained integrating the fitted King profile
# n_memb   : Number of members assuming a uniform background
# a_f      : Fraction of cluster's area that is present in frame
# 
# Parameter values are in the sense: mean, median, mode, 16th percentile,
# 84th percentile, and STDDEV.
# 
# M  : total initial mass
# z  : metallicity
# a  : log(age)
# bf : binary fraction
# B  : beta
# Av : Visual absorption
# DR : differential reddening
# Rv : ratio of total to selective absorption
# dm : distance modulus
# 
# pmRA, pmDE    : median proper motions in (RA,DEC)
# Xgc, Ygc, Zgc : galactocentric cartesian coordinates [pc]
# Rgc           : galactocentric distance [pc]
# lkl           : likelihood HQS
# N_cl          : number of members with p>=0.5 by pyUPMASK
# t_rlx         : relaxation time [Gyr]
# 
# 
             NAME       GLON       GLAT     r_cl r_c_mean r_c_median r_c_mode r_c_16th r_c_84th  r_c_std r_t_mean r_t_median r_t_mode r_t_16th r_t_84th  r_t_std ell_mean ell_median ell_mode ell_16th ell_84th  ell_std theta_mean theta_median theta_mode theta_16th theta_84th theta_std   CI n_memb_k n_memb  a_f      M_mean    M_median      M_mode      M_16th      M_84th       M_std   z_mean z_median   z_mode   z_16th   z_84th   z_std   a_mean a_median  a_mode  a_16th   a_84th   a_std bf_mean bf_median bf_mode bf_16th bf_84th  bf_std Av_mean Av_median Av_mode Av_16th Av_84th  Av_std  dm_mean dm_median  dm_mode  dm_16th  dm_84th  dm_std    pmRA pmRA_std    pmDE pmDE_std         Xgc   Xgc_std         Ygc   Ygc_std        Zgc  Zgc_std        Rgc   Rgc_std  lkl N_cl    t_rlx
----------------- ---------- ---------- -------- -------- ---------- -------- -------- -------- -------- -------- ---------- -------- -------- -------- -------- -------- ---------- -------- -------- -------- -------- ---------- ------------ ---------- ---------- ---------- --------- ---- -------- ------ ---- ----------- ----------- ----------- ----------- ----------- ----------- -------- -------- -------- -------- -------- ------- -------- -------- ------- ------- -------- ------- ------- --------- ------- ------- ------- ------- ------- --------- ------- ------- ------- ------- -------- --------- -------- -------- -------- ------- ------- -------- ------- -------- ----------- --------- ----------- --------- ---------- -------- ---------- --------- ---- ---- --------
        alessi_15     210.49     -1.099  0.03753 0.008902   0.006409 0.004651  0.00355 0.014376 0.007371 0.041293   0.040476 0.039092 0.024126 0.058489 0.015629 0.328095   0.298078 0.226246 0.100666 0.570301 0.212379   0.219799          nan   1.126211        nan        nan  1.002686 0.86       25     28  1.0   354.65215   335.49872   326.57135   215.20462    484.9977   121.41486 -0.58886 -0.17587 -0.35538 -0.65839  0.40989 0.47558  7.71434  7.71715 7.70544 7.43765  8.00964 0.27574 0.59132   0.60714 0.60725 0.53571 0.64286 0.05779 2.69065   2.69522 2.70346  2.5836 2.79275 0.10354  13.6242  13.61776  13.6042 13.33227 13.92686 0.29732  -0.176    0.118   0.532    0.155 -14851.8609 1024.6388  -3834.8267  603.1648   -98.0224  19.4727 15339.2725  1136.991 0.99   29    3.948
        alessi_17    231.359      2.585 0.052305 0.026937   0.023422 0.015502 0.011434 0.043769 0.015848 0.072825    0.07271 0.069473 0.054978 0.091904 0.016961 0.461042   0.501985 0.620485 0.186974 0.694147 0.224776  -0.442185          nan  -0.539035        nan        nan   0.46174 0.72       44     34  1.0   376.29244   370.17001    365.5719   345.11785   406.10249    49.17583 -0.91479 -0.76807 -1.08881 -0.94432 -0.61233 0.16954  8.40828  8.43581 8.53056 8.10182  8.65477 0.26942 0.46305   0.47619 0.47673 0.40476 0.52381 0.05653 1.59557   1.59561 1.58276 1.45321 1.74489 0.14441 12.92746  12.92277 12.91584 12.80924 13.04507 0.11295  -1.455    0.086   1.551    0.044 -10943.4214    67.564  -3257.5641    83.333   223.6436   5.1093 11418.5046   88.5182 1.16   42   37.858
        alessi_18    241.421     -2.555 0.106202 0.009903   0.003936 0.003654 0.002795 0.005695 0.024974 0.157143   0.159495   0.1598 0.120995 0.194839 0.035202 0.268766   0.223843 0.120432 0.064812 0.434776 0.221366  -0.027096          nan   0.299379        nan        nan  0.702274  0.0       48     55 0.92   514.80546   486.96746   450.29683   385.34313   646.47343   144.94361 -0.60219 -0.30553 -0.27603  -0.6198   0.0392 0.37744  6.79509  6.79133 6.79089  6.6042   6.9895 0.20056 0.48093   0.46667 0.49024     0.4 0.53333 0.07354   2.851   2.84965  2.8495 2.73518 2.96478  0.1139 14.43964  14.43945 14.43909 14.09761 14.77791 0.32163  -1.257    0.067   1.977    0.108 -13406.9377  830.6836  -9304.2075 1527.7838  -433.3027  74.2128 16324.8908 1522.4269 0.59   32   63.949
        alessi_21    223.457     -0.014 0.627342 0.376352   0.358199 0.322266 0.249302 0.507808 0.127636 0.811659   0.789675 0.756045 0.680922  0.94634 0.137978 0.136225   0.116634  0.06424 0.034464 0.240765 0.099022  -0.123609          nan  -0.322158        nan        nan  0.795896 0.48       90     96  1.0   384.82819   374.88851   369.98613    322.6268   433.53432    70.16138  0.13156  0.19632  0.22719  0.08824  0.37491  0.1938  7.86727  7.86545 7.85801 7.82598  7.91623 0.04657 0.39377   0.39444 0.39117 0.38333 0.40556 0.01317 0.26314   0.26126  0.2577 0.18935 0.33774  0.0708  8.73226   8.73133  8.72211  8.68964  8.77805 0.04147  -5.565    0.156    2.63    0.181  -8748.7078    7.4895   -388.0534     7.453    27.8268   3.9725  8757.5806     7.676 2.66  180  136.747
        alessi_24    328.984    -14.572 2.451414 0.357992    0.35295 0.345504 0.301905 0.412896 0.057877 3.310856   3.283962  3.21585 2.723736 3.936496 0.621729 0.502781   0.507403   0.5153 0.450559 0.554631 0.054585   0.188515          nan   0.188961        nan        nan  0.068052 0.26      219    216  1.0   460.47855   443.93789   412.24269   396.47692   518.73422    77.90993  0.21848  0.29218  0.26687  0.07826  0.47907 0.21519   7.9806  7.97235 7.95839 7.94677  8.01367 0.03569 0.41886   0.41803 0.41857 0.40574 0.43033   0.014 0.20646    0.1999  0.1823 0.12589 0.28921 0.08162  8.41097   8.41214  8.41789  8.36437   8.4574 0.04256  -0.475    0.223  -8.947    0.232  -7940.9886   11.1445   -240.1291   10.6443   -95.0254   9.6552   7945.256   11.1976 2.41  247  102.189
        alessi_43    262.546      1.501 0.516338  0.50336   0.513497 0.533199 0.431032 0.571598 0.068965 0.611197   0.606791 0.601291 0.575522  0.64542 0.039896 0.536942   0.538454  0.54106 0.501189 0.572105 0.036058   0.376685          nan   0.378441        nan        nan  0.044155 0.37      301    300  1.0   750.88569   744.15619   735.54486   686.60033   810.10808    66.06756 -0.22862 -0.18436 -0.19677 -0.23453 -0.14111 0.06669  6.64742  6.64554  6.6518  6.6172  6.67068 0.03325 0.42595   0.42725  0.4278 0.41339  0.4388 0.01294 1.00231   0.99818 0.99099 0.95337 1.05898 0.05008  9.73246    9.7251  9.72023  9.68726   9.7843 0.04813  -5.529     0.26   3.931    0.297  -8460.8431    6.3031   -927.4549   29.0939    51.7848   3.6602  8511.6412    8.4668 1.57  438   156.09
        alessi_53    202.259     -0.664 0.057759 0.014278   0.011202 0.008645 0.006394 0.022585 0.009883 0.073045   0.072139 0.066479 0.047398 0.099798 0.022876 0.282774   0.272485 0.239702 0.093317 0.466977 0.170565  -0.406684          nan  -0.545797        nan        nan  0.652552 0.72       35     37  1.0   633.22837   603.62444   587.45913   557.83471   748.89919    91.95134 -0.93598 -0.82952  -0.9439 -0.96823 -0.33748 0.26703   8.3459  8.34388 8.34383 8.27176  8.43315 0.08965 0.47729   0.47222 0.46029 0.44444 0.51389 0.04004   2.455    2.4543 2.45091 2.40971 2.50038 0.04474 13.04918  13.05125  13.0602 12.95104 13.13678 0.10264   0.378    0.137   -0.22    0.145 -14980.5738  962.9206  -2719.5182  395.0721   -34.6655  10.3052 15225.4657  1016.229 1.19   73   97.148
        alessi_59    211.077      1.195 0.031843 0.017384   0.016223 0.012098 0.009101 0.025584 0.008137 0.037098   0.036051 0.034767 0.027335 0.046836 0.009659 0.354624   0.365208 0.438839  0.14929 0.544203 0.179498   0.053458          nan   0.218615        nan        nan  0.526874 0.74       36     32 0.94   295.82444   280.32615   246.82094   229.98227   358.37504    72.87293 -0.54239 -0.27445 -0.28247 -0.68031 -0.02028 0.32968  8.22363  8.23767 8.19752 7.93503  8.54182 0.31262 0.56358   0.57576 0.54679 0.51515 0.63636 0.05619 2.05417   2.04994 2.04089 1.93561 2.17404 0.11938 12.70537  12.70732 12.74488 12.48222 12.91442  0.2061  -0.563    0.134   0.131    0.135 -11835.7416  268.7744  -2106.9271  162.0754   123.1757   7.7631  12022.446  292.9422 1.43   33    8.612
         alessi_6    313.643     -5.544  0.47976 0.184788    0.17094 0.153952 0.125994 0.246215 0.063846 0.579004   0.567672 0.552086 0.476296 0.681236 0.104169 0.112234   0.097296 0.053014 0.030496 0.198371 0.079943   0.135467          nan   1.137047        nan        nan  0.952847 0.39      132    139  1.0   606.41704    591.8302   564.48474   521.09913   681.12184     86.2967  0.09307 -0.04737  0.07767 -0.10428  0.02003   0.085  8.76817  8.75956 8.74096 8.72698  8.81088  0.0455 0.41519   0.41143 0.40878     0.4 0.43429 0.01787  0.7446   0.75347 0.76202 0.66533 0.81254 0.07156  9.67899   9.67852  9.67532   9.6385  9.72169 0.04077 -10.557    0.128  -5.544    0.166  -7741.3192   11.6233   -626.8394   11.1564   -58.8609   3.5062  7767.0568   10.7778 1.96  180   72.393
        alessi_60    215.188      1.944 0.109906 0.060596   0.056562 0.046551 0.036535 0.085931 0.023814 0.133123     0.1266 0.115326 0.102983 0.165643 0.031183 0.201539   0.180804 0.110833  0.05682 0.348323 0.137647   0.266502          nan   0.319067        nan        nan  0.684238 0.75       86     94  1.0   736.30193   739.50853   801.27341   615.70715   840.26829   122.70185 -0.41005 -0.27853 -0.27958 -0.49317 -0.04751 0.19989  8.62228  8.62377 8.61847 8.53766  8.71701  0.0937 0.46012   0.45714 0.45715  0.4381 0.48571  0.0255 1.02258   1.02552  1.0344 0.94082 1.10526 0.07925 12.14776  12.15356 12.19006 11.99847 12.29464 0.13556  -0.854    0.055  -0.651    0.068 -10750.5662  106.2025  -1700.5251   75.3407   133.1071    6.491 10885.0612  116.4681 1.88  105   54.273
