# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
----------------- ------ ------ ------- -------- ------ ------ -------- -------- ----
        alessi_15  48.46   0.89 -242.19     3.43   8.43   3.14  -11.812    1.519    1
        alessi_17  70.21   3.95 -229.25     2.41   1.18   1.47    0.955    3.308    0
        alessi_18 129.41   0.96 -218.64      3.1  -3.25   2.88   21.544     2.16    1
        alessi_21  41.84   0.33 -233.91     0.46  -2.46   0.47   17.986    0.394   11
        alessi_24   8.47   1.49 -233.59     0.93  -4.31   0.66  -13.785    1.258   15
        alessi_43  21.44   0.26 -235.04     0.38    0.5   1.19   -5.332    1.125    4
         alessi_6 -14.35   0.47  -231.2     0.62   5.77   0.63   15.727    0.559    3
        alessi_60  55.49    0.4 -220.58     0.76  -4.19   0.76    1.103    0.519    1
         alessi_8 -27.68   0.96 -247.09     0.73   1.27   0.47   14.275    0.784    3
alessi_teutsch_12  -3.59   4.65 -233.67     2.53  -1.89   1.03   -3.142    3.917    8
 alessi_teutsch_3  16.37   1.57 -239.95      1.5   2.17   0.51    4.769    0.546    5
 alessi_teutsch_8 -15.35   0.15 -252.64     0.26   8.81   0.56   -3.636    0.509    1
          ascc_16  20.64   0.17 -244.02     0.28   2.67    0.3    4.067     0.22   12
          ascc_21   19.3   2.73 -244.01     0.92   3.29   0.81    3.005    2.456    4
          ascc_30  23.12   0.14 -240.13     0.36  -0.81   0.36   -9.021    0.297    1
          ascc_66    5.0   1.26 -232.41      1.3   1.19    1.9   10.911    2.003    1
          ascc_67   -3.8  14.61  -233.7    14.37  -1.29   1.48   -6.621    3.101    4
          ascc_71 -10.43   2.53 -239.25     2.32  -6.03   0.88    8.212    1.264    5
          ascc_85  18.72   6.27 -232.97     2.44  -4.19   0.41  -33.169    5.843    3
          ascc_87   5.09    2.5 -238.21     0.43   3.39   0.49  -17.497    2.463    4
          ascc_88 -16.46   0.34 -246.61     0.96   -4.6   0.93    1.071    0.383    4
          ascc_90   7.75   1.15 -242.77     0.63   6.74   0.58  -19.804    1.156    9
        basel_11a  80.49   0.69 -203.19     0.61   0.26   0.59   28.338    0.637    0
        basel_11b   3.13   0.23 -219.15      0.7  -2.31   0.68  -17.184    0.253    3
         basel_17  -9.79   4.81 -244.47     4.78   2.71   0.58   -4.296    0.834    0
         basel_18  12.24   0.39 -217.51     0.44   -2.5   0.53  -23.777    0.483    1
           bdsb96  29.04   8.33 -243.72     5.48 -10.39   1.33   -1.983    6.584    2
      berkeley_20  78.92   1.14 -203.25     6.43   8.98    6.7    14.47    2.503    1
      berkeley_21  44.87   0.86 -218.46     3.56   3.58   4.01   19.498     0.88    2
      berkeley_22  92.45   1.68  -208.6     4.69   6.03   4.75   37.327    1.952    2
      berkeley_23  51.85   0.57 -216.79      1.8  -4.01   1.74   17.202    0.623    0
      berkeley_24  73.85   0.51 -239.04     3.21  23.33   3.43   16.172    1.238    2
      berkeley_25 108.07   9.19 -206.95     5.63  -3.09   4.11   12.205    8.459    0
      berkeley_28  69.09   2.35 -231.87      1.7  -4.93   1.66   18.248    2.258    2
      berkeley_29  33.51   3.37 -205.34     5.78  -1.07   6.01  -20.509     3.53    1
      berkeley_30  46.94   0.84 -226.31     1.99   3.76   2.25  -11.377     1.14    0
      berkeley_31  61.39   1.25 -203.13     3.67   4.43   4.57   -7.344    1.653    0
      berkeley_32  99.85  16.96 -195.35     6.12  -0.84   2.25   41.941   16.124    5
      berkeley_33  78.64   1.24 -234.31     1.66   3.53   1.86    7.878    1.505    4
      berkeley_34  62.07   4.17 -240.09     3.94 -21.32   4.43   -4.797    4.163    2
      berkeley_35 101.46   2.44  -209.4     1.66   1.91   1.69   32.969    2.358    1
      berkeley_36  63.14   1.68 -230.92     1.73 -11.65   1.82   -3.051    1.638    4
      berkeley_37   76.4   1.45 -231.96     1.36   3.49   1.08   15.457    1.428    1
      berkeley_39  59.93   1.18 -198.51     1.75 -27.11   2.03  -19.678    1.454    6
      berkeley_72  14.26   0.75 -237.44     2.23  18.12   2.57    -7.55    0.751    1
      berkeley_73  96.69    0.3 -230.36     4.02  11.18    3.7   25.584    1.817    2
      berkeley_75 126.82   3.16 -198.82     3.81  -7.08   3.49   11.298    3.471    1
      berkeley_77   73.4   0.56 -215.52     0.88  -2.14   0.97    6.393     0.67    1
      berkeley_78  66.32   0.39 -201.13     1.52   6.13   1.42   -2.951    0.732    1
           bh_111  -1.45   0.36 -230.92     0.37   3.31   1.21   16.581     0.98    1
           bh_132 -18.94   0.14 -240.54     0.23  -1.08   0.74   -7.931     0.66    1
           bh_150 -44.65    1.4 -243.47     1.41   2.63   1.33    4.126    1.436    1
           bh_151 -29.04   1.89 -236.02     1.84  -1.56   2.15   -3.676    1.775    1
            bh_19  86.49   0.59 -209.72     0.81   0.45   1.08   20.723    0.938    2
