# Orbital parameters
# Apo    : Apocenter of the orbit
# Peri   : Pericenter of the orbit
# rE     : Guiding radius
# Ecc    : Eccentricity of the orbit 
# Max_Z  : Maximum vertical height
# Energy : Total energy
# Tr     : Radial period
# Tp     : Azimuthal period
# Tz     : Vertical period
# Lz     : Z-component of the angular momentum
# L      : Angular momentum
# Jacobi : Jacobi integral 
#
#
             NAME    Apo Apo_std   Peri Peri_std     rE rE_std   Ecc Ecc_std Max_Z Max_z_std     Energy Energy_std    Tr Tr_std    Tp Tp_std    Tz Tz_std       Lz  Lz_std        L    L_std      Jacobi Jacobi_std
----------------- ------ ------- ------ -------- ------ ------ ----- ------- ----- --------- ---------- ---------- ----- ------ ----- ------ ----- ------ -------- ------- -------- -------- ----------- ----------
        alessi_15 14.251   1.002 13.152    0.718 14.207  1.108 0.041   0.008 0.222     0.094 -24786.117   3374.973 0.292  0.025 0.387  0.034 0.171  0.023 3180.557  204.03   -8.837 1544.688  -116310.97   2507.149
        alessi_17 11.193   0.249 10.836     0.39 11.008  0.301 0.018   0.012 0.212     0.011 -36544.507   1294.176 0.219  0.007 0.291  0.009  0.12  0.005 2557.203  62.229   -0.887 1218.902 -110128.451    497.283
        alessi_18 13.858   0.967 13.717    0.993 13.481  1.954 0.005   0.001 0.309     0.049 -27146.872   6056.009 0.275  0.045 0.365   0.06 0.168  0.043 3037.363 383.453   76.176  1448.64  -114562.77   5005.877
        alessi_21  8.753   0.008  8.062    0.028  8.584  0.024 0.041   0.001 0.044     0.005 -48820.703    140.456 0.165  0.001  0.22  0.001 0.082    0.0 2047.052    5.14   22.368  961.204 -107729.276     10.102
        alessi_24  8.113   0.023  7.276     0.07  7.699  0.034 0.054   0.005 0.111     0.005 -54505.039    232.055 0.145  0.001 0.196  0.001 0.072    0.0 1855.497   8.248   34.785  861.081 -107902.068      16.74
        alessi_43   8.52   0.007  8.499    0.004  8.329  0.015 0.001     0.0 0.051     0.002  -50373.31      96.01 0.159    0.0 0.213    0.0 0.079    0.0  1997.62   3.574   -3.258  945.402 -107860.068       8.98
         alessi_6  7.937   0.015  6.941    0.052  7.443  0.031 0.067   0.003 0.091     0.006  -56312.83    224.833 0.139  0.001 0.189  0.001 0.069    0.0 1796.994   7.545    9.788  856.078  -108025.02     11.464
        alessi_60  10.65   0.152  9.393    0.174 10.032   0.16 0.063   0.004 0.146     0.016 -41022.561    774.724 0.197  0.004 0.262  0.005 0.103  0.003 2349.214  33.356   47.594 1102.127 -108629.588    186.995
         alessi_8  8.426   0.058  7.611    0.017  8.021  0.032 0.051   0.003 0.079     0.001 -52337.193    208.544 0.152  0.001 0.205  0.001 0.075    0.0  1927.35   6.443   -8.171  914.903 -107799.283      25.39
alessi_teutsch_12  7.846   0.025  7.304    0.177  7.578  0.082 0.036   0.013 0.084     0.004 -55351.803     582.48 0.142  0.002 0.192  0.002  0.07  0.001 1832.191  19.997   20.013   855.66 -108070.128     19.234
 alessi_teutsch_3  8.412   0.056  8.298    0.062  8.427  0.059 0.009   0.003  0.13     0.003 -49768.733    359.194 0.161  0.001 0.216  0.002 0.082  0.001  2018.21  12.599   28.754  949.739  -107846.45      5.435
 alessi_teutsch_8  8.846   0.042  7.934    0.009  8.395  0.025 0.054   0.002 0.128     0.007  -49967.03    154.056  0.16  0.001 0.215  0.001 0.081    0.0 2006.466   5.016  -20.096  966.934  -107707.33     11.461
          ascc_16  8.644   0.004  8.628    0.004  8.853  0.012 0.001     0.0 0.087     0.002 -47245.757     71.603 0.171    0.0 0.228    0.0 0.086    0.0 2109.379   2.542   19.149  995.533 -107947.375      2.049
          ascc_21  8.648   0.005  8.636    0.011  8.852  0.039 0.001   0.001  0.08     0.004 -47249.478    223.952 0.171  0.001 0.228  0.001 0.086  0.001  2109.47   8.095   16.516  997.381  -107954.77      10.77
          ascc_30  9.606   0.039  9.025     0.02  9.316  0.029 0.031   0.001 0.012     0.006  -44678.02    154.859 0.181  0.001 0.241  0.001  0.09  0.005 2207.623   5.956    7.462 1038.897 -108206.353      16.75
          ascc_66  8.087   0.031  7.394    0.106  7.792  0.053 0.045   0.007 0.108     0.006 -53868.714    359.076 0.147  0.001 0.198  0.001 0.073  0.001  1876.64  12.761   -7.046  892.271 -107872.116     23.852
          ascc_67  7.773    0.37  7.267    0.654  7.465  0.459 0.045   0.043 0.053     0.006 -56160.705   3275.851  0.14   0.01 0.189  0.013 0.069  0.005 1806.886 108.955   12.143  853.668 -108135.529    204.149
          ascc_71  7.948   0.078   7.52    0.096  7.738  0.082 0.029   0.004 0.106     0.008 -54235.174    562.605 0.146  0.002 0.197  0.002 0.073  0.001 1868.152  18.229   43.044  864.542 -107988.692     39.657
